date,SUM of actual_mean_temp,SUM of average_min_temp,SUM of average_max_temp
7/1/2014,76,67,84
7/2/2014,66,67,84
7/3/2014,66,67,84
7/4/2014,70,67,84
7/5/2014,71,67,84
7/6/2014,78,67,84
7/7/2014,81,67,85
7/8/2014,77,68,85
7/9/2014,73,68,85
7/10/2014,71,68,85
7/11/2014,73,68,85
7/12/2014,76,68,85
7/13/2014,79,68,85
7/14/2014,73,68,85
7/15/2014,64,68,85
7/16/2014,65,68,85
7/17/2014,68,68,85
7/18/2014,73,68,84
7/19/2014,71,68,84
7/20/2014,75,68,84
7/21/2014,78,68,84
7/22/2014,82,68,84
7/23/2014,70,68,84
7/24/2014,68,68,84
7/25/2014,69,68,84
7/26/2014,78,68,84
7/27/2014,78,68,84
7/28/2014,68,68,84
7/29/2014,71,68,84
7/30/2014,71,68,84
7/31/2014,74,67,83
8/1/2014,75,67,83
8/2/2014,74,67,83
8/3/2014,77,67,83
8/4/2014,78,67,83
8/5/2014,74,67,83
8/6/2014,73,67,83
8/7/2014,75,67,83
8/8/2014,76,67,83
8/9/2014,74,67,83
8/10/2014,77,67,83
8/11/2014,76,67,83
8/12/2014,67,67,83
8/13/2014,71,67,83
8/14/2014,67,67,82
8/15/2014,67,67,82
8/16/2014,73,67,82
8/17/2014,69,67,82
8/18/2014,76,66,82
8/19/2014,80,66,82
8/20/2014,78,66,82
8/21/2014,77,66,82
8/22/2014,81,66,82
8/23/2014,79,66,82
8/24/2014,81,65,82
8/25/2014,83,65,81
8/26/2014,79,65,81
8/27/2014,76,65,81
8/28/2014,73,65,81
8/29/2014,81,64,81
8/30/2014,80,64,81
8/31/2014,79,64,80
9/1/2014,80,63,80
9/2/2014,77,63,80
9/3/2014,76,63,80
9/4/2014,80,62,79
9/5/2014,78,62,79
9/6/2014,69,62,79
9/7/2014,69,61,79
9/8/2014,70,61,78
9/9/2014,74,61,78
9/10/2014,70,60,78
9/11/2014,55,60,77
9/12/2014,52,59,77
9/13/2014,51,59,77
9/14/2014,57,58,76
9/15/2014,58,58,76
9/16/2014,58,57,75
9/17/2014,61,57,75
9/18/2014,63,57,75
9/19/2014,67,56,74
9/20/2014,72,56,74
9/21/2014,61,55,73
9/22/2014,59,55,73
9/23/2014,63,54,73
9/24/2014,66,54,72
9/25/2014,68,53,72
9/26/2014,70,53,71
9/27/2014,70,52,71
9/28/2014,69,52,70
9/29/2014,71,52,70
9/30/2014,56,51,69
10/1/2014,63,51,69
10/2/2014,71,50,68
10/3/2014,57,50,68
10/4/2014,43,50,68
10/5/2014,49,49,67
10/6/2014,56,49,67
10/7/2014,59,48,66
10/8/2014,58,48,66
10/9/2014,57,48,66
10/10/2014,52,48,65
10/11/2014,50,47,65
10/12/2014,55,47,64
10/13/2014,65,46,64
10/14/2014,61,46,64
10/15/2014,56,46,63
10/16/2014,56,46,63
10/17/2014,56,45,62
10/18/2014,46,45,62
10/19/2014,47,45,62
10/20/2014,58,44,61
10/21/2014,52,44,61
10/22/2014,50,44,60
10/23/2014,52,44,60
10/24/2014,61,43,60
10/25/2014,64,43,59
10/26/2014,55,43,59
10/27/2014,67,42,58
10/28/2014,57,42,58
10/29/2014,45,42,58
10/30/2014,45,41,57
10/31/2014,42,41,57
11/1/2014,39,41,56
11/2/2014,41,40,56
11/3/2014,55,40,55
11/4/2014,53,40,55
11/5/2014,51,39,54
11/6/2014,46,39,54
11/7/2014,41,38,53
11/8/2014,44,38,53
11/9/2014,45,38,52
11/10/2014,55,37,52
11/11/2014,47,37,51
11/12/2014,30,36,51
11/13/2014,29,36,50
11/14/2014,27,35,50
11/15/2014,27,35,49
11/16/2014,29,34,48
11/17/2014,19,34,48
11/18/2014,17,34,47
11/19/2014,26,33,47
11/20/2014,24,33,46
11/21/2014,25,32,46
11/22/2014,44,32,45
11/23/2014,52,31,45
11/24/2014,39,31,44
11/25/2014,26,30,43
11/26/2014,27,30,43
11/27/2014,25,29,42
